cctid,show_id,show,date,segment,episode,description_ja,name_ja,metadata
gakinotsukai_19900327_25_0,gakinotsukai,Gaki no Tsukai,1990-03-27,0,25,,無し(松ちゃんの遅刻でお流れ),"{""opening_jp"":""こんだけ低予算の番組ない→中身のある話をしたい→口半開きで寝る浜田、目半開きで寝る松本→[ハガキ]お二人が出演していたミスタードーナツのCM覚えています(CM観賞)→高校時代の松本さんは泣く子も黙ると言われるほど恐れられていたと聞きました→ものまねコーナー""}"
gakinotsukai_19900403_26_0,gakinotsukai,Gaki no Tsukai,1990-04-03,0,26,,熱海インディーの秘宝チキチキ発掘大作戦,"{""opening_jp"":""[ハガキ]新田さんをあまりイジメないであげてください→人気はどちらがあるのですか？→クイズです。象を冷蔵庫に入れる3つの条件とは？続けてキリンを冷蔵庫に入れる4つの条件とは？""}"
gakinotsukai_19900410_27_0,gakinotsukai,Gaki no Tsukai,1990-04-10,0,27,,激突チキチキ新田コーディネート大作戦！,"{""opening_jp"":""浜田が寿司屋の出前の親父にキレた→松本がタクシー運転手にキレた→飲食店で品物に虫が混入してたらどうする→地下鉄で二人の足を踏んでも謝らなかったおっさんを蹴り倒した話→[ハガキ]中学の頃二人は六甲牧場を駆け下りて死にそうになったらしいですがどうして駆け下りたのですか→松本さんの好きなタイプを教えて下さい""}"
gakinotsukai_19900417_28_0,gakinotsukai,Gaki no Tsukai,1990-04-17,0,28,,チキチキ綱引き大合戦,"{""opening_jp"":""しりとりで何を言われても｢す｣で返すことができる→子供の頃の遊び→[ハガキ]二人が学生の頃にやっていた時間差攻撃という遊びを教えてください→罰ゲームをかけたしりとり対決をしたい""}"
gakinotsukai_19900424_29_0,gakinotsukai,Gaki no Tsukai,1990-04-24,0,29,,チキチキわらしべ長者大合戦！,"{""opening_jp"":""自宅マンションに来るブサイクな女のファン→罰ゲームをかけたしりとり対決→[ハガキ]教科書に掲載されている写真に浜ちゃんに似ている人が写っています""}"
gakinotsukai_19900501_30_0,gakinotsukai,Gaki no Tsukai,1990-05-01,0,30,,100万円はもらったも同然だ!! メイキング・オブ・仮装大賞（カメレオンで不合格）,"{""opening_jp"":""[ハガキ]コンサートはやらないのですか？レコードはもう出さないのですか？→ものまねコーナー""}"
gakinotsukai_19900508_31_0,gakinotsukai,Gaki no Tsukai,1990-05-08,0,31,,罰ゲーム・SM亀甲縛りアルタ画面で番組宣伝!!,"{""opening_jp"":""[ハガキ]二人は誰かと間違われたことはありますか→人間観察は面白い""}"
gakinotsukai_19900515_32_0,gakinotsukai,Gaki no Tsukai,1990-05-15,0,32,,イカすのど自慢天国大合戦!!,"{""opening_jp"":""浜田の衣装が汚い→東武動物公園での余興(営業)の話→グリーンピア三木での営業の話→交通事故の話→[ハガキ]小学校3年生の弟がダウンタウンに弟子入りしたいと言い出しました。どうか返事をしてあげてください→お二人は学生時代にあまり思い入れがないのですか？面白い昔話があったら話してください→奥さんを誘拐した犯人が松ちゃんを殺せと要求してきたら浜ちゃんはどうしますか？→松ちゃんは野沢直子と仲が良い？""}"
gakinotsukai_19900522_33_0,gakinotsukai,Gaki no Tsukai,1990-05-22,0,33,,激突チキチキスターボーリング,"{""opening_jp"":""プロ野球が盛り上がっている→芸能界におけるコメディアンの地位→野球のルールに納得がいかない→早口言葉に納得がいかない[ハガキ]学校をズル休みしてまで浜ちゃんの出待ちをするも会えませんでした。励みにGジャンをください→寒い(のでGジャンをください)→究極の選択。辞めるならどっち？笑っていいともとガキの使い→どっちかを殴れと言われたら？西川きよしと桂三枝→4、5年前にダウンタウンが出ていたひょうきん予備校に清川虹子さんがゲストで来たときにキスの犠牲になった二人の内の一人が松っちゃんだった気がするのですがどうでしょうか？""}"
gakinotsukai_19900529_34_0,gakinotsukai,Gaki no Tsukai,1990-05-29,0,34,,チキチキオセロ名人戦!!,"{""opening_jp"":""トークのスタジオが遠い→セットが変更→ナンパの話→東京の店員相手にはAV借りにくい→大阪の男は日本で一番スケベ→学生時代の二人のスケベな話→[ハガキ]ケンタッキーでアルバイトしていた時、ドライブルスルーに自転車で入ってきたおばちゃんにケンタッキー5本頂戴！と言われて笑ってしまいました→浜田は鳥人間コンテストに出る？出ない？""}"
gakinotsukai_19900605_35_0,gakinotsukai,Gaki no Tsukai,1990-06-05,0,35,,チキチキハスラー３,"{""opening_jp"":""最近ちびまる子ちゃんが面白い→雑誌の怪しい通販商品を実際に試したい→特許を取れば大儲け(下駄箱スルメ)→[ハガキ](セーラー服を着た女性アシスタントがモニターと共に登場)ミスタードーナツのCMで共演したことがあるんですけど覚えていますか？→究極の選択。街に行くのに覆面付けて裸か、素顔でビキニ姿→究極の選択。自分が出ているエロ本が母親に見つかる。母親が出ているエロ本を見つける→ものまねコーナー""}"
gakinotsukai_19900612_36_0,gakinotsukai,Gaki no Tsukai,1990-06-12,0,36,,チキチキ３分クッキング!!,"{""opening_jp"":""つかみのギャグ→性的興奮作用があるガラナチョコレートを実食→スタッフが下駄箱スルメを作ってみた→視聴者プレゼント→[ハガキ]松本さんは仲の良い友だちの盲腸の手術をしたというのは本当ですか？→お互いこいつ良いやつだと思ったことはありますか？→二人はどんな食べ物が好きなんですか？""}"
gakinotsukai_19900616_SP_0,gakinotsukai,Gaki no Tsukai,1990-06-16,0,SP,,SP漫才を披露 25:10-26:10(60m),"{""opening_jp"":""漫才をしないといけない→片頭痛→浜田は車に轢かれたことがある→一回死んだと思ったことがある→吉本興業のってるノッテル図→今田の一人コント→東野の一人コント→130Rのコント→オールディーズのコント→山田花子(オンエアではネタはカット)→ダウンタウンの漫才""}"
gakinotsukai_19900619_37_0,gakinotsukai,Gaki no Tsukai,1990-06-19,0,37,,チキチキマンガ道場!!,"{""opening_jp"":""新しい番組の企画を考える→動物の話→松本は遅刻が多い→[ハガキ]浜ちゃんは大阪弁を使わずに話せませんか？""}"
gakinotsukai_19900626_38_0,gakinotsukai,Gaki no Tsukai,1990-06-26,0,38,,チキチキぼんさんが屁をこいた!!,"{""opening_jp"":""浜田がドラマを始めた話→松本・紳助・さんまは歌下手ベスト3→演技力対決→[ハガキ]うちの学校には大阪だと笑われる｢馬場ダイ｣という生徒がいます→吉本とのギャラ交渉はどのようにしていますか？→林正之助会長のエピソード→桂三枝とやすしきよしのライバル関係""}"
gakinotsukai_19900703_39_0,gakinotsukai,Gaki no Tsukai,1990-07-03,0,39,,なし,"{""opening_jp"":""下駄箱スルメ大抽選会→編集で切られている部分が多い→放送コードについて→お互いの悪口→[ハガキ]松本さんが浜田の妹はブサイクと言ってますが本当ですか？→お二人は何かに似ていると言われたことはありますか？""}"
gakinotsukai_19900710_40_0,gakinotsukai,Gaki no Tsukai,1990-07-10,0,40,,チキチキルパン三世アテレコ大合戦!!,"{""opening_jp"":""松本の遅刻でトークが3時間以上遅れた→睡魔には勝てない→お詫びにお客さん150人にジュースを配る→[ハガキ]6月20日の放送で浜ちゃんと松ちゃんの頭上をハエが飛んでたんですがダウンタウンの二人は臭いのですか？""}"
gakinotsukai_19900717_41_0,gakinotsukai,Gaki no Tsukai,1990-07-17,0,41,,チキチキ初級英会話講座!!,"{""opening_jp"":""松本が前回遅刻したので客にお詫びでジュース配る(200人で2万円）→可愛い部分を出していきたい→[ハガキ]プロ野球でセリーグが勝つかパリーグが勝つか賭けるのはどうでしょうか""}"
gakinotsukai_19900724_42_0,gakinotsukai,Gaki no Tsukai,1990-07-24,0,42,,チビッ子なんでも相談室,"{""opening_jp"":""電車で来たから来るのが遅くなった→5時にここに来る人間がなぜ4時50分に東京にいたの？→[ハガキ]松本さんが高校時代にホテルに彼女に行ったときホテルで火事を起こしたって聞きましたが本当ですか？""}"
gakinotsukai_19900731_43_0,gakinotsukai,Gaki no Tsukai,1990-07-31,0,43,,プロ野球オールスター予想対決,"{""opening_jp"":""スカイダイビングやるにあたって考えた→[ハガキ]ノンノでデートしたい100人の100位内に二人が入ってましたがウッチャンナンチャンに負けてしまった感想を→松ちゃんは仕事が嫌いなのですか？""}"
gakinotsukai_19900807_44_0,gakinotsukai,Gaki no Tsukai,1990-08-07,0,44,,罰ゲーム　浜ちゃん決死のスカイダイビング!!,"{""opening_jp"":""スカイダイビングでの体験""}"
gakinotsukai_19900821_45_0,gakinotsukai,Gaki no Tsukai,1990-08-21,0,45,,新体操の女王　浩子ちゃんと踊ろう！,"{""opening_jp"":""最近した研究→[ハガキ]写真集を出していたと聞いたんですがどんな物なんですか？売れたんですか？→怪談話の季節ですがダウンタウンの二人はなにか恐ろしい体験をしたことがありますか？""}"
gakinotsukai_19900828_46_0,gakinotsukai,Gaki no Tsukai,1990-08-28,0,46,,占いクイズ合戦　さて何でしょう？,"{""opening_jp"":""男のファンはヘン→道歩いててちょっかい出されたことある→京都のディスコであった怖い話→両刀→[ハガキ]浜ちゃん決死のダイビングは感動的でした。この次も頑張ってください→ダウンタウンの二人は親のHを聞いたり見たりしたことはありますか？""}"
gakinotsukai_19900904_47_0,gakinotsukai,Gaki no Tsukai,1990-09-04,0,47,,仮装大賞ヨカッタヨーン!!,"{""opening_jp"":""全日空で一時間半も待たされた→新幹線でうるさかった→グリーン→[ハガキ]大阪にブラッキーズという松ちゃんの親衛隊がいたと聞きましたが本当ですか？→ぼくのおじいちゃんにあだ名を付けてほしいんです→私は女で背が186cmもあるんです。どうすれば目立たなくなるんでしょうか→ダウンタウンの二人はバッタもんを買ったことがありますか？→松ちゃんはアルタでファンの人が叫んでもシカトしていますが松ちゃんはファンの人が嫌いなんですか？""}"
gakinotsukai_19900911_48_0,gakinotsukai,Gaki no Tsukai,1990-09-11,0,48,,じぃちゃんばあちゃんかくれんぼ!!,"{""opening_jp"":""新聞にダウンタウンは解散するという記事が載った→[ハガキ]この前アルタに松本さんを見に行ったら機嫌が悪かったのですが？""}"
gakinotsukai_19900918_49_0,gakinotsukai,Gaki no Tsukai,1990-09-18,0,49,,がっちり買いましょうIN沖縄!!,"{""opening_jp"":""沖縄来たのは4回目か5回目ぐらい→沖縄で紹介された物→[ハガキ]ダウンタウンの二人はなにかお稽古ごとはやりましたか→ダウンタウンの二人は学生時代バイトしていましたか？""}"
gakinotsukai_19900925_50_0,gakinotsukai,Gaki no Tsukai,1990-09-25,0,50,,ビーチバレーIN沖縄!!,"{""opening_jp"":""日本でどこが一番好きか→大阪→子供の名前どうする→[ハガキ]昔ダウンタウンの二人がスナックでアルバイトをしていたとき、襲われそうになったと聞きましたが本当ですか→ダウンタウンの二人は追っかけのことをどう思っているのですか？これからやろうと思っている私にアドバイスをお願いします→松っちゃんはいいともで黒のグラサンなどしてカッコ付けていますが何さまのつもりなんですか""}"
gakinotsukai_19901002_51_0,gakinotsukai,Gaki no Tsukai,1990-10-02,0,51,,仮装大賞予選,"{""opening_jp"":""[ハガキ]松本さんが痔の手術をしたときの看護婦は私の姉です→浜ちゃん、松ちゃん私に彼氏を紹介してください、スタッフに誰かいませんか？電話待ってます""}"
gakinotsukai_19901009_52_0,gakinotsukai,Gaki no Tsukai,1990-10-09,0,52,,仮装大賞・100万円はもらったも同然だ！（合格ラインで合格！）,"{""opening_jp"":""19点取れたので上等→一点入れなかったやつは誰なのか→次は人文字に挑戦する""}"
gakinotsukai_19901016_53_0,gakinotsukai,Gaki no Tsukai,1990-10-16,0,53,,Mr.レディと腕相撲大会!!,"{""opening_jp"":""[ハガキ]浜田さんは大先輩を呼び捨てにしていますが芸能界では生きていけるんですか？→4時ですよ〜だで抱きつくのはいつも松本さんだということが分かりましたが、松本さんがこれだけ抱きついていることに対し浜田さんはどう思っているのですか？→彼氏が浮気をしていたので「浜ちゃんにやってもらう」と言ったら「お前程度のテクニックでは浜ちゃんは相手にせえへん」と言われました。頭に来たので別れるにして何かしてから別れたいです。浜田さんテレビで返事をしてください、アホな彼氏に一言言ってください。""}"
gakinotsukai_19901023_54_0,gakinotsukai,Gaki no Tsukai,1990-10-23,0,54,,お見合い大作戦,"{""opening_jp"":""緊張してる人間っておもしろい→ヤクザの女に手を出した松本→つかぐちさん→[ハガキ]ダウンタウンのお二人が、酔っぱらったときや寝ぼけたときにしてしまったことを教えてください""}"
gakinotsukai_19901030_55_0,gakinotsukai,Gaki no Tsukai,1990-10-30,0,55,,マジック種明かし大作戦!!,"{""opening_jp"":""研究→人の表情は何種類あるのか→日本人は表情作るのが下手→9年ぐらい前、この世界入ってすぐの話→[ハガキ]二人はいとしこいしさんに似ていますね→電車でせんずりをこいていたおじさんを見た。男の人はどうしてこういうことをするのですか、浜ちゃん松ちゃんはそういうことをしたことがありますか、これからも頑張ってください""}"
gakinotsukai_19901106_56_0,gakinotsukai,Gaki no Tsukai,1990-11-06,0,56,,早く言ってよ！エッチ言葉しりとり大作戦!!,"{""opening_jp"":""休みが欲しい→人間のレギュラーの限界は週に三本→それいけダウンタウン→乗馬したい→疲労困憊→新田が家におこしにきた話→[ハガキ]私の母はテレビにダウンタウンが出るたびに「あ、ヤクザ」と言って見てるのに消しちゃいます""}"
gakinotsukai_19901113_57_0,gakinotsukai,Gaki no Tsukai,1990-11-13,0,57,,1000人企画・３年Ｂ組金八先生,"{""opening_jp"":""次の対決はどうする→次の対決では勝った方が望みを叶えるというのはどう→罰ゲームでバンジージャンプ→チンパンジーチョップ→カンガルーとボクシング""}"
gakinotsukai_19901120_58_0,gakinotsukai,Gaki no Tsukai,1990-11-20,0,58,,ゴルフ対決前哨戦,"{""opening_jp"":""出来るスポーツ→罰ゲーム→罰ゲームで家族全員連れてくるというのはどうか→罰ゲームでスペインで闘牛やりに行くか→[ハガキ]浜ちゃんは昔車の中で生活していたらしいですがその生活を教えてください→松本さんのせいで勇気がイケイケになってしまいました。昔の勇気に戻して""}"
gakinotsukai_19901127_59_0,gakinotsukai,Gaki no Tsukai,1990-11-27,0,59,,クイズヅラを探せグランプリ!!,"{""opening_jp"":""罰ゲーム決め""}"
gakinotsukai_19901204_60_0,gakinotsukai,Gaki no Tsukai,1990-12-04,0,60,,ガキ版ピッタシカンカン!!,"{""opening_jp"":""双方がしたひどい話→[ハガキ]うちの母はダウンタウンが出ているとおぼんこぼんが出ていると言います""}"
gakinotsukai_19901211_61_0,gakinotsukai,Gaki no Tsukai,1990-12-11,0,61,,ゴルフマッチプレー!!,"{""opening_jp"":""浜田が今田東野にした話→陸橋の階段で荷物を持っているお婆さんがいたらおぶってあげるか？""}"
gakinotsukai_19901218_62_0,gakinotsukai,Gaki no Tsukai,1990-12-18,0,62,,ダンスダンスざんす!!,"{""opening_jp"":""人間がいらんことするから天が怒っている→占いによると来年はあまり良くないらしい→おかしな雑誌の占い→お守りは信用しない→[ハガキ]昔、チチクリマンボというのをやっていたそうですが、どのようなものかを見せてください→タモリンピックを見てると、松本さんにはやる気が感じられますが、浜ちゃんは嫌そうに見えます。浜ちゃんはタモリンピックがきらいなのですか？""}"
gakinotsukai_19901225_63_0,gakinotsukai,Gaki no Tsukai,1990-12-25,0,63,,罰ゲームさん、いらっしゃーい!!,"{""opening_jp"":""松本と浜田の罰ゲームに対する扱いの違い→［ハガキ］修学旅行の話→床の間でうんこした理由→［ハガキ］浜田さんの特技はハンバーク手だと聞きました。見せてください。""}"
gakinotsukai_19901229_SP_0,gakinotsukai,Gaki no Tsukai,1990-12-29,0,SP,,SP『ウッチャンナンチャン＆ダウンタウンスペシャル〜SHA.LA.LAの使いやあらへんで!!〜』 14:00-15:25(85m),"{""opening_jp"":""なし""}"
gakinotsukai_19910108_64_0,gakinotsukai,Gaki no Tsukai,1991-01-08,0,64,,なぐって！なぐって！さて何んでしょう!?,"{""opening_jp"":""どっちかタバコ止めようか→浜田は屁を止めてくれ→科学がどんどん発達していくのは困る→[ハガキ]下唇を両手で引っ張り、唇を頭にかぶせるぐらいが出産の痛みと同等だと思います。浜田さんやってみてください。""}"
gakinotsukai_19910115_65_0,gakinotsukai,Gaki no Tsukai,1991-01-15,0,65,,チキチキ良い子悪い子普通の子!!,"{""opening_jp"":""浜田が私服ばかり着てくること→昔自転車盗まれたことが原因で家族喧嘩になった話→[ハガキ]今年でダウンタウンは芸能生活10周年なので写真集を出してみては如何でしょうか""}"
gakinotsukai_19910122_66_0,gakinotsukai,Gaki no Tsukai,1991-01-22,0,66,,ダウンタウンなんて嫌いや！チキチキ目安箱,"{""opening_jp"":""本番前にうんこしてた→うんこした後手洗うか？→バッティングセンター→[ハガキ]去年の暮れにチェッカーズのラジオ番組に野沢直子が出ていて浜ちゃんて時々フミヤは似ているといわれフミヤさんも俺も似てると思うなどと言っていました。浜ちゃん良かったですね→まるでリトマス試験紙のようにイモ食えばへが出るのですがどうすればいいでしょうか""}"
gakinotsukai_19910129_67_0,gakinotsukai,Gaki no Tsukai,1991-01-29,0,67,,ドラフト会議,"{""opening_jp"":""[ハガキ]スクールウォーズのイソップをアンデルセンと母親が間違えていました→浜ちゃん松ちゃんあけましておめでとうございます。これは大分前の話なのですが私の姉が沖縄のバーで働いていて浜田さんが来てカラオケを独占していたと聞きましたが本当ですか？""}"
gakinotsukai_19910205_68_0,gakinotsukai,Gaki no Tsukai,1991-02-05,0,68,,涙の1000本ノック!!,"{""opening_jp"":""[ハガキ]1月22日、妹が上京してきたという事実はないのでしょうか？私はその日浜田さんそっくりの女性を見かけたのですが。→松ちゃんはハンサムだと思うのですが""}"
gakinotsukai_19910211_SP_0,gakinotsukai,Gaki no Tsukai,1991-02-11,0,SP,,SP『ダウンタウンのガキの遊びやあらへんで!!〜ダウンタウン改造計画〜』16:00-16:45(45m),"{""opening_jp"":""なし""}"
gakinotsukai_19910212_69_0,gakinotsukai,Gaki no Tsukai,1991-02-12,0,69,,オールスター夢の球宴!!,"{""opening_jp"":""[ハガキ]松本さん、少しは大友さんに女を回してやってください""}"
gakinotsukai_19910219_70_0,gakinotsukai,Gaki no Tsukai,1991-02-19,0,70,,罰ゲーム　冬の湘南　赤フンドシで寒中水泳!!,"{""opening_jp"":""スタイリストの用居した服が気に行ったので買い取り→帽子→[ハガキ]ブスが活躍できる場を作ってください""}"
gakinotsukai_19910226_71_0,gakinotsukai,Gaki no Tsukai,1991-02-26,0,71,,早くいわんかい!!,"{""opening_jp"":""浜田の舞台用の今日のファッション→帽子のチャックが開いたり閉じたりする→仕事のペース→速い乗り物には乗らない方がいい→一週間の内5日は休みたい→大阪人と東京人で結婚した方がいい→[ハガキ]松本さんは好きな人と相方ぐらいだったら守れると言いますが本当ですか？""}"
gakinotsukai_19910305_72_0,gakinotsukai,Gaki no Tsukai,1991-03-05,0,72,,100人に聞きました　えっ!!どーなん?!,"{""opening_jp"":""女優の写真集を見た→この番組の罰で写真集を出すか→今日免許証入ってるサイフ落とした→楽屋でサイフ取られたこともある→新幹線で切れた話→小学校のとき一日中ついてない日があった""}"
gakinotsukai_19910312_73_0,gakinotsukai,Gaki no Tsukai,1991-03-12,0,73,,減点パパ,"{""opening_jp"":""サイフをまた紛失した→前の日に履き替えたパンツを取られた→[ハガキ]「まっちゃんのごぼう」というのがある→時々松本さんがズボンを脱いでいるというのがあります。理由はありますか？""}"
gakinotsukai_19910319_74_0,gakinotsukai,Gaki no Tsukai,1991-03-19,0,74,,ごっつううまいねん?!　チキチキ　ヤミ鍋対決!!,"{""opening_jp"":""浜田の子供誕生が明日らしい→この前謝恩会のやつらに突然胴上げさげた話→豆級が常に光ってるが省エネを考えろ→ご飯のおかず→菜食家→動物を殺すことは許せない→魚はどこまで魚か""}"
gakinotsukai_19910326_75_0,gakinotsukai,Gaki no Tsukai,1991-03-26,0,75,,ＡＤ大友争奪戦!!,"{""opening_jp"":""[ハガキ]新幹線は男か女か？傘は男か女か？""}"
gakinotsukai_19910402_76_0,gakinotsukai,Gaki no Tsukai,1991-04-02,0,76,,身体衰弱！,"{""opening_jp"":""今日は浜田に教訓を与えたい→浜田はよくズル休みする→唯一のマネージャーである新田は浜田に首ったけ→野沢は休んでいるのに給料が出る→今度のギャラ交渉→ショーバイショーバイでの、関口宏に対する浜田の行動→客もスタッフもびっくりして白髪になった→ライオネス飛鳥が登場""}"
